,Date,VCB_Close,VIC_Close,VHM_Close,BID_Close,TCB_Close,CTG_Close,HPG_Close,VPB_Close,FPT_Close,MBB_Close
325,20200424,29.9662,82.677,47.896,20.5465,8.2918,12.8113,7.6208,6.6905,18.6152,6.2169
326,20200427,29.0528,81.788,47.5276,20.0329,8.2675,12.5777,7.569,6.8537,18.5057,6.0814
327,20200428,29.1398,81.788,47.6012,20.0614,8.2918,12.7112,7.3794,6.8537,18.5057,6.1201
328,20200429,29.5747,81.6991,46.8644,20.3182,8.3403,13.3451,7.4139,6.6905,18.5422,6.1782
329,20200504,29.3138,81.6102,47.8223,20.147,8.4373,13.3784,7.2414,6.5437,18.4327,6.1395
330,20200505,29.0528,82.4103,46.8644,20.147,8.4373,13.245,7.3794,6.6416,18.5787,6.1201
331,20200506,29.4008,84.455,49.3697,20.5465,8.51,13.4785,7.6552,6.8048,19.3087,6.1782
332,20200507,30.3141,85.344,49.8118,21.4312,8.5827,13.612,8.138,6.9843,19.5277,6.3138
333,20200508,31.9668,86.6775,52.2435,21.688,9.1646,13.9456,8.069,7.4412,19.6007,6.43
334,20200511,32.4017,86.6775,54.1593,21.9734,9.795,14.1792,8.2587,7.8655,19.7102,6.5074
335,20200512,32.8801,86.233,54.1593,22.0019,9.9889,14.4461,8.1552,7.8492,19.8562,6.6624
336,20200513,32.8801,84.455,52.6119,22.6012,9.9889,14.4461,8.3104,7.8002,21.1023,6.7786
337,20200514,33.0541,85.344,52.0224,22.6583,9.9405,14.2459,8.2587,7.7186,20.8244,6.7011
338,20200515,33.0541,86.233,52.7593,22.0304,9.8192,13.9456,8.1035,7.7839,20.525,6.5656
339,20200518,34.1414,85.7885,52.9803,22.2017,10.0132,14.2459,8.6553,8.1918,20.6747,6.6043
340,20200519,34.3589,85.7885,53.9383,22.3158,10.3284,14.8798,9.0173,8.1592,21.0595,6.7399
341,20200520,34.6198,85.8774,56.812,22.3444,10.2071,14.8798,9.1208,8.0287,20.9099,6.7011
